experiment,model,checkpoint,device,chunk_size,eval_batch_size,timed_batches,avg_batch_ms,min_batch_ms,max_batch_ms,avg_sample_us,samples_per_second,nmse_percent,num_parameters,model_dilation,model_hidden_channels,model_hidden_size,model_input_channels,model_input_size,model_kernel_size,model_num_blocks,model_num_layers,model_output_channels,model_output_size,model_size_mb_fp32,realtime_budget_us_per_sample,realtime_load_pct,headroom_x,max_realtime_sample_rate_hz,chunk_budget_ms_at_44k,chunk_budget_utilization_pct_at_44k,is_realtime_viable_44k,viability_tier
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-2_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-2_num_blocks-1/best.pt,mps,16384,1,20,0.1041978364810347,0.0947089865803718,0.1311246305704116,0.0063597312305319,157239349.23526058,2.879066944839174,241,2.0,16.0,,1.0,,7.0,1.0,,1.0,,0.000919342041015625,22.675736961451246,0.028046414726645683,3565.5181232485425,157239349.23526073,371.51927437641723,0.028046414726645694,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-2_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-2_num_blocks-2/best.pt,mps,16384,1,20,0.1674958039075136,0.155667308717966,0.2047088928520679,0.0102231325627144,97817375.8254074,0.3913198656703038,2049,2.0,16.0,,1.0,,7.0,2.0,,1.0,,0.007816314697265625,22.675736961451246,0.04508401460157051,2218.0810844763696,97817375.8254079,371.51927437641723,0.045084014601570736,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-2_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-2_num_blocks-3/best.pt,mps,16384,1,20,0.2143897349014878,0.2048332244157791,0.2579172141849994,0.0130853109681083,76421569.37937562,0.2666904320564051,3857,2.0,16.0,,1.0,,7.0,3.0,,1.0,,0.014713287353515625,22.675736961451246,0.0577062213693576,1732.9154054280305,76421569.37937614,371.51927437641723,0.057706221369357984,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-1_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-1_num_blocks-1/best.pt,mps,16384,1,20,0.1037396024912595,0.0962917692959308,0.120874959975481,0.0063317628473669,157933899.9431814,9.693071524484766,225,1.0,32.0,,1.0,,3.0,1.0,,1.0,,0.000858306884765625,22.675736961451246,0.02792307415688803,3581.267572407751,157933899.9431818,371.51927437641723,0.02792307415688809,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-1_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-1_num_blocks-2/best.pt,mps,16384,1,20,0.1646146876737475,0.1531662419438362,0.1818342134356498,0.0100472831832121,99529393.34594315,1.2036416312169125,3329,1.0,32.0,,1.0,,3.0,2.0,,1.0,,0.012699127197265625,22.675736961451246,0.04430851883796537,2256.90234344543,99529393.34594345,371.51927437641723,0.04430851883796549,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-1_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-1_num_blocks-3/best.pt,mps,16384,1,20,0.2143666381016373,0.2059158869087696,0.2257092855870723,0.0130839012513206,76429803.37375015,0.3157506531171768,6433,1.0,32.0,,1.0,,3.0,3.0,,1.0,,0.024539947509765625,22.675736961451246,0.05770000451832385,1733.1021173186027,76429803.37375037,371.51927437641723,0.057700004518324,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-2_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-2_num_blocks-1/best.pt,mps,16384,1,20,0.1041665440425276,0.0953343696892261,0.125957652926445,0.0063578212916581,157286585.15646797,3.0844073373477263,225,2.0,32.0,,1.0,,3.0,1.0,,1.0,,0.000858306884765625,22.675736961451246,0.02803799189621222,3566.5892325730165,157286585.15647003,371.51927437641723,0.02803799189621257,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-2_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-2_num_blocks-2/best.pt,mps,16384,1,20,0.1684918301180005,0.1577921211719513,0.1895837485790252,0.0102839251781006,97239136.09654386,0.2882092447122781,3329,2.0,32.0,,1.0,,3.0,2.0,,1.0,,0.012699127197265625,22.675736961451246,0.045352110035423644,2204.9690724839916,97239136.09654403,371.51927437641723,0.04535211003542372,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-2_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-2_num_blocks-3/best.pt,mps,16384,1,20,0.2157396869733929,0.2030837349593639,0.2351254224777221,0.0131677055037471,75943375.23081985,0.2733755727114435,6433,2.0,32.0,,1.0,,3.0,3.0,,1.0,,0.024539947509765625,22.675736961451246,0.058069581271524714,1722.0720006988668,75943375.23082003,371.51927437641723,0.05806958127152482,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-5_dilation-1_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-5_dilation-1_num_blocks-1/best.pt,mps,16384,1,20,0.1060563838109374,0.0927909277379512,0.1504169777035713,0.0064731679572105,154483864.25476396,2.8733580619488945,353,1.0,32.0,,1.0,,5.0,1.0,,1.0,,0.001346588134765625,22.675736961451246,0.02854667069129831,3503.035470629587,154483864.2547648,371.51927437641723,0.02854667069129846,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-5_dilation-1_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-5_dilation-1_num_blocks-2/best.pt,mps,16384,1,20,0.1664457842707634,0.1530828885734081,0.1821671612560749,0.0101590444501198,98434454.6290674,0.4268780693263136,5505,1.0,32.0,,1.0,,5.0,2.0,,1.0,,0.020999908447265625,22.675736961451246,0.044801386025028325,2232.0738011126473,98434454.62906775,371.51927437641723,0.04480138602502848,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-5_dilation-1_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-5_dilation-1_num_blocks-3/best.pt,mps,16384,1,20,0.2130166627466678,0.2043326385319233,0.2226671203970909,0.0130015052945964,76914170.88570593,0.3886485620246151,10657,1.0,32.0,,1.0,,5.0,3.0,,1.0,,0.040653228759765625,22.675736961451246,0.057336638349170126,1744.085507612383,76914170.8857061,371.51927437641723,0.05733663834917022,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-5_dilation-2_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-5_dilation-2_num_blocks-1/best.pt,mps,16384,1,20,0.1061334041878581,0.0983751378953456,0.159416813403368,0.0064778689079503,154371756.23802677,1.834733437954579,353,2.0,32.0,,1.0,,5.0,1.0,,1.0,,0.001346588134765625,22.675736961451246,0.028567401884060827,3500.4933387307783,154371756.23802733,371.51927437641723,0.028567401884060928,True,strong_headroom
