status,design,architecture,sample_width,weight_width,acc_width,kernel_taps,dilation,latency_cycles,steady_cycles_per_sample,finite_cycles_per_sample,steady_samples_per_sec_at_target_clock,finite_samples_per_sec_at_target_clock,max_clock_mhz,max_theoretical_samples_per_sec,total_cells,icestorm_lc,sb_lut4,sb_carry,sb_dff,sb_dffe,sb_dffsr,sb_dffesr,sb_dffess,sb_mac16,error
ok,conv1d_2mult,small,8,8,24,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,110.91,36970000.000000,301,193,117,60,1,0,2,120,0,0,
ok,conv1d_2mult,small,8,8,32,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,325,185,141,76,1,0,2,104,0,0,
ok,conv1d_2mult,small,8,8,32,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,97.18,32393333.333333,357,217,141,76,1,0,2,136,0,0,
ok,conv1d_parallel_pipelined,small,4,4,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,181.98,181980000.000000,203,134,80,33,0,0,3,86,0,0,
ok,conv1d_parallel_pipelined,small,4,4,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,177.02,177020000.000000,219,150,80,33,0,0,3,102,0,0,
ok,conv1d_parallel_pipelined,small,4,4,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,153.42,153420000.000000,275,174,112,49,0,0,3,110,0,0,
ok,conv1d_parallel_pipelined,small,4,4,24,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,149.43,149430000.000000,291,190,112,49,0,0,3,126,0,0,
ok,conv1d_parallel_pipelined,small,4,4,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,132.40,132400000.000000,347,214,144,65,0,0,3,134,0,0,
ok,conv1d_parallel_pipelined,small,4,4,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,126.53,126530000.000000,363,230,144,65,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,4,6,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,181.98,181980000.000000,203,134,80,33,0,0,3,86,0,0,
ok,conv1d_parallel_pipelined,small,4,6,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,177.02,177020000.000000,219,150,80,33,0,0,3,102,0,0,
ok,conv1d_parallel_pipelined,small,4,6,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,153.42,153420000.000000,275,174,112,49,0,0,3,110,0,0,
ok,conv1d_parallel_pipelined,small,4,6,24,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,149.43,149430000.000000,291,190,112,49,0,0,3,126,0,0,
ok,conv1d_parallel_pipelined,small,4,6,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,132.40,132400000.000000,347,214,144,65,0,0,3,134,0,0,
ok,conv1d_parallel_pipelined,small,4,6,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,126.53,126530000.000000,363,230,144,65,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,4,8,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,181.98,181980000.000000,203,134,80,33,0,0,3,86,0,0,
ok,conv1d_parallel_pipelined,small,4,8,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,177.02,177020000.000000,219,150,80,33,0,0,3,102,0,0,
ok,conv1d_parallel_pipelined,small,4,8,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,153.42,153420000.000000,275,174,112,49,0,0,3,110,0,0,
ok,conv1d_parallel_pipelined,small,4,8,24,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,149.43,149430000.000000,291,190,112,49,0,0,3,126,0,0,
ok,conv1d_parallel_pipelined,small,4,8,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,132.40,132400000.000000,347,214,144,65,0,0,3,134,0,0,
ok,conv1d_parallel_pipelined,small,4,8,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,126.53,126530000.000000,363,230,144,65,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,6,4,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,182.92,182920000.000000,233,156,90,37,0,0,3,102,0,0,
ok,conv1d_parallel_pipelined,small,6,4,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,186.50,186500000.000000,257,180,90,37,0,0,3,126,0,0,
ok,conv1d_parallel_pipelined,small,6,4,24,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,142.15,142150000.000000,305,196,122,53,0,0,3,126,0,0,
